wsid,mdct,wdsp,wdct,gust
304,10/08/2007 5:00,0.4,62,2.4
304,10/08/2007 6:00,0.5,74,2.3
304,10/08/2007 7:00,0.3,74,2.3
304,10/08/2007 8:00,2.4,93,7.6
304,10/08/2007 9:00,0.5,60,8.3
304,10/08/2007 10:00,1.4,67,6.6
304,10/08/2007 11:00,1.2,52,7.4
304,10/08/2007 12:00,0.8,59,6.2
304,10/08/2007 13:00,1.2,77,5.2
304,10/08/2007 14:00,1,41,4.7
304,10/08/2007 15:00,1.2,75,3.9
304,10/08/2007 16:00,0.7,98,3.5
304,10/08/2007 17:00,0.8,75,2.9
304,10/08/2007 18:00,1.8,100,3.5
304,10/08/2007 19:00,1,102,3.5
304,10/08/2007 20:00,0.9,90,2.9
304,10/08/2007 21:00,1.4,102,3.5
304,10/08/2007 22:00,1.4,111,3.7
304,10/08/2007 23:00,1.4,127,3.5
304,11/08/2007 0:00,1.3,86,2.9
304,11/08/2007 1:00,0.5,34,2.9
304,11/08/2007 2:00,1.1,84,3.5
304,11/08/2007 3:00,0.8,40,4.1
304,11/08/2007 4:00,1.8,81,5.4
304,11/08/2007 5:00,0.6,46,5.4
304,11/08/2007 6:00,0.4,39,3.2
304,11/08/2007 7:00,0.4,24,3.3
304,11/08/2007 8:00,0.3,294,4.2
304,11/08/2007 9:00,0.2,351,4.7
304,11/08/2007 10:00,1.1,342,5.9
304,11/08/2007 11:00,0.8,20,5.1
304,11/08/2007 12:00,0.7,53,4.3
304,11/08/2007 13:00,0.6,31,3.5
304,11/08/2007 14:00,1.5,100,3.6
304,11/08/2007 15:00,2,89,4.7
304,11/08/2007 16:00,1.2,70,4.5
304,11/08/2007 17:00,2,108,5.1
304,11/08/2007 18:00,1.8,88,5.1
304,11/08/2007 19:00,1,98,6.8
304,11/08/2007 20:00,1.1,86,4.4
304,11/08/2007 21:00,1.4,90,3.7
304,11/08/2007 22:00,1.4,79,4.1
304,11/08/2007 23:00,0.9,65,4.8
304,12/08/2007 0:00,0.9,62,2.7
304,12/08/2007 1:00,0.6,60,2.7
304,12/08/2007 2:00,0.9,69,2.1
304,12/08/2007 3:00,1,68,2.1
304,12/08/2007 4:00,1,73,3.5
304,12/08/2007 5:00,1.3,71,3
304,12/08/2007 6:00,0.9,62,3.3
304,12/08/2007 7:00,0.2,338,3.8
304,12/08/2007 8:00,0.5,69,1.8
304,12/08/2007 9:00,0.7,72,2
304,12/08/2007 10:00,1.2,88,5.2
304,12/08/2007 11:00,1.6,86,3.5
304,12/08/2007 12:00,0.8,110,4.4
304,12/08/2007 13:00,1.5,107,6
304,12/08/2007 14:00,2.5,108,5
304,12/08/2007 15:00,2.8,104,5.7
304,12/08/2007 16:00,3.1,93,6
304,12/08/2007 17:00,2.3,135,6
304,12/08/2007 18:00,3,100,5.3
304,12/08/2007 19:00,1.6,83,5.3
304,12/08/2007 20:00,2.8,88,6.6
304,12/08/2007 21:00,1,77,5.6
304,12/08/2007 22:00,2.4,92,4.9
304,12/08/2007 23:00,2.2,105,5
304,13/08/2007 0:00,2.4,84,5.4
304,13/08/2007 1:00,1.5,88,5.2
304,13/08/2007 2:00,3.4,83,6.1
304,13/08/2007 3:00,2,83,7
304,13/08/2007 4:00,2.4,88,5.2
305,27/10/2006 0:00,0.2,325,1.8
305,27/10/2006 1:00,0.4,272,1.3
305,27/10/2006 2:00,1.2,276,3.2
305,27/10/2006 3:00,0.8,280,3.2
305,27/10/2006 4:00,0.2,287,3.1
305,27/10/2006 5:00,0.2,280,2.3
305,27/10/2006 6:00,0.6,280,2.8
305,27/10/2006 7:00,0.5,299,4.7
305,27/10/2006 8:00,0.4,296,3.7
305,27/10/2006 9:00,0.3,285,3.6
305,27/10/2006 10:00,1.1,292,4.5
305,27/10/2006 11:00,1.6,297,5.7
305,27/10/2006 12:00,4.9,308,7.6
305,27/10/2006 13:00,4.5,295,7.4
305,27/10/2006 14:00,5.1,306,7.2
305,27/10/2006 15:00,4.3,303,9
305,27/10/2006 16:00,3.8,317,7.9
305,27/10/2006 17:00,2.9,197,8.1
305,27/10/2006 18:00,6.4,156,9.2
305,27/10/2006 19:00,6.2,150,8.9
305,27/10/2006 20:00,6.3,145,8.9
305,27/10/2006 21:00,6,158,10.2
305,27/10/2006 22:00,5.9,157,11
305,27/10/2006 23:00,5.9,162,9.7
305,28/10/2006 0:00,6.9,159,10.5
305,28/10/2006 1:00,5.5,159,10.4
305,28/10/2006 2:00,4.7,192,8.3
305,28/10/2006 3:00,3.2,195,7.7
305,28/10/2006 4:00,5,167,8.3
305,28/10/2006 5:00,3.5,177,8.3
305,28/10/2006 6:00,3.4,182,7.3
305,28/10/2006 7:00,4.5,174,6.7
305,28/10/2006 8:00,4,183,7.4
305,28/10/2006 9:00,3.4,173,6.2
305,28/10/2006 10:00,4.8,173,6.9
305,28/10/2006 11:00,4.6,171,7.3
305,28/10/2006 12:00,4.7,164,7.9
305,28/10/2006 13:00,3.8,153,7.5
305,28/10/2006 14:00,1.9,122,6.3
305,28/10/2006 15:00,2,128,3.9
305,28/10/2006 16:00,4.3,122,6.2
305,28/10/2006 17:00,5.2,138,7.6
305,28/10/2006 18:00,6.4,126,8
305,28/10/2006 19:00,5.2,125,8.3
305,28/10/2006 20:00,3.8,135,7.3
305,28/10/2006 21:00,3,134,6.1
305,28/10/2006 22:00,1.6,131,5.5
305,28/10/2006 23:00,3.1,129,4.5
305,29/10/2006 0:00,2.9,168,5
305,29/10/2006 1:00,1.5,203,4.2
305,29/10/2006 2:00,1.5,227,2.4
305,29/10/2006 3:00,1.7,205,3
305,29/10/2006 4:00,2,197,4.3
305,29/10/2006 5:00,2.8,215,4.9
305,29/10/2006 6:00,4.1,179,6
305,29/10/2006 7:00,3.1,181,5.7
305,29/10/2006 8:00,1.1,222,4.8
305,29/10/2006 9:00,2.3,191,3.4
305,29/10/2006 10:00,3.4,172,5.5
305,29/10/2006 11:00,4.7,165,6.8
305,29/10/2006 12:00,3.4,146,7.6
305,29/10/2006 13:00,2.4,130,6.6
305,29/10/2006 14:00,2.2,156,7.1
305,29/10/2006 15:00,2.6,92,6.1
305,29/10/2006 16:00,4.2,108,6.3
305,29/10/2006 17:00,4.7,98,6.8
305,29/10/2006 18:00,5,123,7.1
305,29/10/2006 19:00,4.2,102,7
305,29/10/2006 20:00,3.1,93,5.8
305,29/10/2006 21:00,2.9,96,5.3
305,29/10/2006 22:00,1.9,82,4.6
305,29/10/2006 23:00,1,108,3.1
305,30/10/2006 0:00,1.4,123,2.3
305,30/10/2006 1:00,0.9,203,1.9
305,30/10/2006 2:00,0.8,109,1.6
305,30/10/2006 3:00,1.3,208,2.6
305,30/10/2006 4:00,1.3,188,3
305,30/10/2006 5:00,1.9,229,3
305,30/10/2006 6:00,1.6,218,3
305,30/10/2006 7:00,1.4,177,2.1
305,30/10/2006 8:00,1.6,165,2.1
305,30/10/2006 9:00,0.8,264,2.1
305,30/10/2006 10:00,1.7,225,3.1
305,30/10/2006 11:00,1.2,114,3.7
305,30/10/2006 12:00,1.8,286,3.2
305,30/10/2006 13:00,1.3,251,3.8
305,30/10/2006 14:00,2.4,288,4
305,30/10/2006 15:00,1.5,278,3.5
305,30/10/2006 16:00,2.4,53,6.4
305,30/10/2006 17:00,2.9,28,5.4
305,30/10/2006 18:00,4,41,7.3
305,30/10/2006 19:00,5.6,67,10
305,30/10/2006 20:00,4.7,49,10.7
305,30/10/2006 21:00,3.4,50,8.6
305,30/10/2006 22:00,3.6,44,6.3
305,30/10/2006 23:00,3.7,47,6.4
305,31/10/2006 0:00,4.3,25,8.2
305,31/10/2006 1:00,1.1,17,6.7
305,31/10/2006 2:00,2.8,25,5.9
305,31/10/2006 3:00,1.4,360,5.3
305,31/10/2006 4:00,0.4,336,2.5
306,03/11/2006 0:00,1.4,234,3
306,03/11/2006 1:00,1.6,208,3.3
306,03/11/2006 2:00,1.2,48,3.9
306,03/11/2006 3:00,1.7,83,2.7
306,03/11/2006 4:00,1.4,208,2.7
306,03/11/2006 5:00,0.8,208,1.9
306,03/11/2006 6:00,0.3,224,1.5
306,03/11/2006 7:00,1,20,1.4
306,03/11/2006 8:00,1.5,11,2.1
306,03/11/2006 9:00,1.3,8,2.2
306,03/11/2006 10:00,1.1,17,1.9
306,03/11/2006 11:00,0.8,228,2.2
306,03/11/2006 12:00,1.2,134,2.7
306,03/11/2006 13:00,1.5,138,3.1
306,03/11/2006 14:00,2.3,135,4.4
306,03/11/2006 15:00,2.5,148,4.7
306,03/11/2006 16:00,2.2,129,4.9
306,03/11/2006 17:00,3.3,140,5.8
306,03/11/2006 18:00,1.7,121,5.2
306,03/11/2006 19:00,1.9,34,10
306,03/11/2006 20:00,1,341,3.1
306,03/11/2006 21:00,0.5,45,1.6
306,03/11/2006 22:00,2.1,19,3
306,03/11/2006 23:00,1.7,303,3
306,04/11/2006 0:00,1.6,342,3.1
306,04/11/2006 1:00,1.8,14,3.5
306,04/11/2006 2:00,1.3,28,3.6
