wsid,mdct,prcp,hmdy,hmax,hmin
304,12/08/2007 15:00,,83,83,76
304,12/08/2007 16:00,,85,86,75
304,12/08/2007 17:00,,89,89,84
304,12/08/2007 18:00,,96,96,89
304,12/08/2007 19:00,3.8,98,99,96
304,12/08/2007 20:00,5,99,99,98
304,12/08/2007 21:00,1.6,99,100,99
304,12/08/2007 22:00,1.2,100,100,99
304,12/08/2007 23:00,2,100,100,100
304,13/08/2007 0:00,3.4,100,100,100
304,13/08/2007 1:00,4,100,100,100
304,13/08/2007 2:00,1,100,100,100
304,13/08/2007 3:00,0.2,100,100,100
304,13/08/2007 4:00,,100,100,100
305,27/10/2006 0:00,,96,96,94
305,27/10/2006 1:00,,98,98,96
305,27/10/2006 2:00,,98,98,98
305,27/10/2006 3:00,,98,98,98
305,27/10/2006 4:00,,98,98,97
305,27/10/2006 5:00,,98,98,98
305,27/10/2006 6:00,,99,99,98
305,27/10/2006 7:00,,97,99,96
305,27/10/2006 8:00,,95,97,95
305,27/10/2006 9:00,,95,97,95
305,27/10/2006 10:00,,87,95,79
305,27/10/2006 11:00,,49,88,45
305,27/10/2006 12:00,,0,75,3
305,27/10/2006 13:00,,66,72,65
305,27/10/2006 14:00,,55,66,54
305,27/10/2006 15:00,,47,56,47
305,27/10/2006 16:00,,41,48,40
305,27/10/2006 17:00,,54,54,38
305,27/10/2006 18:00,,62,63,54
305,27/10/2006 19:00,,70,70,62
305,27/10/2006 20:00,,78,78,71
305,27/10/2006 21:00,,83,83,78
305,27/10/2006 22:00,,85,85,83
305,27/10/2006 23:00,,86,86,84
305,28/10/2006 0:00,,86,87,86
305,28/10/2006 1:00,,84,87,83
305,28/10/2006 2:00,,86,86,83
305,28/10/2006 3:00,0.6,88,90,86
305,28/10/2006 4:00,,84,88,84
305,28/10/2006 5:00,,85,86,84
305,28/10/2006 6:00,,85,86,82
305,28/10/2006 7:00,,85,88,85
305,28/10/2006 8:00,,88,88,84
305,28/10/2006 9:00,,87,88,87
305,28/10/2006 10:00,,85,88,84
305,28/10/2006 11:00,,83,85,82
305,28/10/2006 12:00,,77,83,77
305,28/10/2006 13:00,,75,78,74
305,28/10/2006 14:00,,74,77,73
305,28/10/2006 15:00,,75,77,73
305,28/10/2006 16:00,,77,79,74
305,28/10/2006 17:00,,73,78,72
305,28/10/2006 18:00,,73,75,70
305,28/10/2006 19:00,,77,77,73
305,28/10/2006 20:00,,74,78,74
305,28/10/2006 21:00,,80,83,73
305,28/10/2006 22:00,,81,82,78
305,28/10/2006 23:00,,80,82,79
305,29/10/2006 0:00,,79,81,78
305,29/10/2006 1:00,,83,83,79
305,29/10/2006 2:00,,83,86,82
305,29/10/2006 3:00,,84,85,82
305,29/10/2006 4:00,,84,84,81
305,29/10/2006 5:00,,85,86,83
305,29/10/2006 6:00,,84,85,83
305,29/10/2006 7:00,,87,87,83
305,29/10/2006 8:00,,90,91,87
305,29/10/2006 9:00,,87,91,87
305,29/10/2006 10:00,,76,87,76
305,29/10/2006 11:00,,67,77,67
305,29/10/2006 12:00,,62,68,61
305,29/10/2006 13:00,,61,65,59
305,29/10/2006 14:00,,61,62,57
305,29/10/2006 15:00,,60,62,56
305,29/10/2006 16:00,,62,63,57
305,29/10/2006 17:00,,66,66,60
305,29/10/2006 18:00,,68,69,65
305,29/10/2006 19:00,,73,73,66
305,29/10/2006 20:00,,75,75,73
305,29/10/2006 21:00,,77,77,75
305,29/10/2006 22:00,,80,80,77
305,29/10/2006 23:00,,82,82,80
305,30/10/2006 0:00,,80,82,79
305,30/10/2006 1:00,,86,86,78
305,30/10/2006 2:00,,82,87,81
305,30/10/2006 3:00,,87,87,81
305,30/10/2006 4:00,,89,91,87
305,30/10/2006 5:00,,91,92,89
305,30/10/2006 6:00,,90,91,90
305,30/10/2006 7:00,,89,91,89
305,30/10/2006 8:00,,88,90,88
305,30/10/2006 9:00,,85,88,84
305,30/10/2006 10:00,,85,87,84
305,30/10/2006 11:00,,75,86,74
305,30/10/2006 12:00,,72,75,69
305,30/10/2006 13:00,,68,73,68
305,30/10/2006 14:00,,85,93,66
305,30/10/2006 15:00,,84,88,79
305,30/10/2006 16:00,0.2,86,89,82
305,30/10/2006 17:00,,76,88,76
305,30/10/2006 18:00,,70,76,67
305,30/10/2006 19:00,0.2,80,80,70
305,30/10/2006 20:00,1,83,85,78
305,30/10/2006 21:00,,86,87,82
305,30/10/2006 22:00,,85,86,85
305,30/10/2006 23:00,,81,87,81
305,31/10/2006 0:00,,83,83,81
305,31/10/2006 1:00,5,93,93,82
305,31/10/2006 2:00,0.2,89,93,88
305,31/10/2006 3:00,,91,91,89
305,31/10/2006 4:00,,93,93,91
306,03/11/2006 0:00,,77,79,75
306,03/11/2006 1:00,,82,82,77
306,03/11/2006 2:00,,86,88,82
306,03/11/2006 3:00,,88,90,83
306,03/11/2006 4:00,,90,90,88
306,03/11/2006 5:00,,93,93,90
306,03/11/2006 6:00,,94,94,93
306,03/11/2006 7:00,,94,95,94
306,03/11/2006 8:00,,94,95,93
